;Entity;Ontological definition;Further notes on definition;Label definition 1;Label definition 2;Label definition 3;Label definition 4;Label definition 5;Label defintion 6;Label defintion 7;Label defintion 8
1;Person (with labels for: female/male, title, profession);http://dbpedia.org/page/Person;https://en.oxforddictionaries.com/definition/person;Female makes reference to a woman http://dbpedia.org/page/Female;Male makes reference to a man http://dbpedia.org/page/Male;"Title makes reference to a prefix or suffix added to someone's name. Titles are given by an upper authority. e.g. ""Justicia"" ""gobernador"" ""alcalde"" http://dbpedia.org/page/Title";"Profession is an occupation founded upon specialised training and in exchange for money. e.g. ""adivino"" ""mercader"" ""doctor"" http://dbpedia.org/page/Profession";;;;
2;Date ;http://dbpedia.org/ontology/date;https://en.oxforddictionaries.com/definition/date;"Date is a statement of calendar time. e.g. ""año mil quinientos cincuenta y dos"" ""el diez y ocho días del mes de fecbrero de este presente año de mil y quinientos y setenta y nueve""";;;;;;;
3;Institution (with labels for: civil,eclesiastical);http://dbpedia.org/page/Institution;https://en.oxforddictionaries.com/definition/institution;"Civil makes reference to an institution with political and administrative power and attributions e.g. ""Real Corona"" ""corregimiento"" ""Audiencia de México"" ""República de Indios"" ""Encomienda""";"Ecclesiastical makes referente to an institution with religious, secular o regular, power and attributions. e.g. ""Orden de San Francisco"" ""Tribunal del Santo Oficio"" ""Orden de predicadores"" ""dominicos"" ""franciscanos"" ""Orden de San Agustín"" ""Compañía de Jesús""";;;;;;
4;Location (with labes for: Settlement type, Generic location, Geographic feature type, Toponym, Address, Imaginary, Eclesiastic Jurisdiction, Civil Jurisdiction);http://dbpedia.org/ontology/location;https://en.oxforddictionaries.com/definition/location;"Settlement type makes reference to the names of geopolitical units in general. e.g. ""altepetl"" ""ciudad"" ""pueblo"" ""barrio"" ""cabecera"" http://dbpedia.org/property/settlementType";"Generic location makes reference to 'common' places that cannot be geo-located (i.e. with coordinates). e.g. ""mercado"" ""plaza"" ""iglesia"" ""escuela""";"Geographic feature type makes reference to rather natural features related to topography, hydrography or geography.  e.g. ""sierra"" ""montaña"" ""río"" ""llanos""";"Toponym makes reference to place names. e.g. ""Ciudad de México"" ""Merida"" ""Yucatán"" -- What do you want to annotate: type YES or NO? -- Or do you want to normalize the place?";"Address makes reference to specific location addressess in any format. e.g. ""veinte grados, veinte minutos de latitud"" ";"Imaginary refers to places that only exit in the imagination, unreal, illusory e.g. ""infierno""";"Civil jurisdiction makes reference to the spatial hinterland of a civil or governamental institution. e.g. ""Gobernación de Yucatán"" ""cabildo"" ""ayuntamiento"" ""municipio"" ""provincia""";"Eclesiastical jurisdiction makes reference to the spatial hinterland of an eclesiastical institution. e.g. ""Arzobispado de México"" ""comisarías"" ""arzobispado"" ""obispado"" ""diócesis"" ""doctrina"" ""curato"" ""beneficio"""
5;Animal (with labels for: insect, mammal, reptile, bird, amphibian, domesticated, aquatic);http://dbpedia.org/ontology/animal;https://en.oxforddictionaries.com/definition/animal;"Insect makes reference to any arthropod animals of the class Insecta. e.g. ""gusanos"" ""hormigas"" ""langosta"" http://dbpedia.org/page/Insect";"Mammal makes reference to any warm-blooded vertebrate animals of the class Mammalia. e.g. ""tigres"" ""gatos monteses"" ""ciervos"" http://dbpedia.org/page/Mammal";"Reptile makes reference to any of various usually cold-blooded egg-laying vertebrates often grouped in the class Reptilia. e.g. ""lagarto"" ""víbora"" ""culebra"" http://dbpedia.org/page/Reptile";"Bird is any of various warm-blooded egg-laying feathered vertebrates of the class Aves, having forelimbs modified to form wings. e.g. ""aves"" ""paloma"" ""codornices"" http://dbpedia.org/page/Bird";"Amphibian is any of various cold-blooded, usually smooth-skinned vertebrates of the class Amphibia, characteristically hatching as an aquatic larva with gills and then transforming into an adult having air-breathing lungs. e.g. ""sapos"" http://dbpedia.org/page/Amphibian";"Domesticated animal makes reference to animals which share a sustained multi-generational relationship with humans assuming a significant degree of influence over the reproduction and care. e.g. ""vacas"" ""ovejas"" ""ganado"" http://dbpedia.org/page/Domestication";"Aquatic animal is any animal, either vertebrate or invertebrate, which lives in the water for most or all of its lifetime. e.g. ""camarones"" ""truchas"" ""peces"" https://en.wikipedia.org/wiki/Aquatic_animal";
6;Activity (with labels for: agriculture, warfare, economy, female/male, mining, domestic);http://dbpedia.org/ontology/activity;https://en.oxforddictionaries.com/definition/activity;"Agriculture is the set of techniques and knowledge to cultivate the land e.g. ""cosecha"" ""maizales"" ""sementeras"" http://dbpedia.org/page/Agriculture";"Warfare refers to the common activities and characteristics of types of war, or of wars in general e.g. ""peleaban"" ""flechaban"" ""guerra"" http://dbpedia.org/page/Warfare";"Economy refers to activities concerned with the production, distribution, and consumption of goods and services. e.g. ""cobrar tributos"" ""contratos"" http://dbpedia.org/page/Economy";Female makes reference to a woman http://dbpedia.org/page/Female;Male makes reference to a man http://dbpedia.org/page/Male;"Mining makes reference to any activities related to extraction of valuable minerals or other geological materials from the earth from an orebody, lode, vein, seam, reef or placer deposits which forms the mineralized package of economic interest to the miner. e.g. ""vetas"" http://dbpedia.org/page/Mining";"Domestic makes reference to basic activities of daily life that regulate and stabilize social life. They mainly involve care giving, feeding and food processing, weaving and cloth manufacture, hygiene, public health and healing, socialization of children and the fitting out and organization of related spaces (González-Marcen et al 2008). e.g. ""guisar"" ""hacer de comer"" ""hilar"" ""lavan la ropa""";
7;Plant;http://dbpedia.org/page/Plant;https://en.oxforddictionaries.com/definition/plant;"e.g. ""árboles"" ""caña"" ""frutales""";;;;;;;
8;Food;http://dbpedia.org/page/Food;https://en.oxforddictionaries.com/definition/food;"e.g. ""mantenimientos"" ""vino"" ""maiz"" ""frijoles""";;;;;;;
9;Natural_Resource;http://dbpedia.org/page/Natural_resource;https://www.lexico.com/en/definition/natural_resources;"e.g. ""cantera"" ""salinas"" ""colmenares""";;;;;;;
10;Cultural_artefact (with labels for: house_goods, commodity, clothing, weapon, tool);http://dbpedia.org/page/Cultural_artifact;https://en.oxforddictionaries.com/definition/object;"House good makes reference to all objects found in a household e.g. ""manta"" ""vasos"" ""jícara"" ""hornilla""";"Commodity refers to something useful that can be turned to commercial or other advantage or profit.  e.g. ""cacao"" ""mantas"" http://dbpedia.org/page/Commodity";"Clothing makes a reference to sothing that covers or clothes. e.g. ""manta"" ""naguas"" ""camisas"" ""huipil"" http://dbpedia.org/page/Clothing";"Weapon is an object or instrument used in fighting e.g. ""armas"" ""arcos de palo"" ""flechas"" ""rodelas""  http://dbpedia.org/page/Weapon";"Tool refers to something regarded as necessary to the carrying out of one's occupation or profession. e.g. ""red"" ""nasas"" ""herramientas"" http://dbpedia.org/page/Tool";;;
